餐廳名稱,城市
山江餐飲店,台中市
山景餐廳,台中市
伊豆美食會館,台中市
仁友平價小館,台中市
福壽山農場,台中市
大福餐廳,台中市
羅家小館,台中市
新川生鱘龍魚餐飲店,台中市
英英餐廳,台中市
卦山月圓,彰化縣
森18休閒農場,南投縣
星月天空景觀餐廳,南投縣
昇財麗禧酒店,彰化縣
公雞餐廳,彰化縣
黑公雞風味餐廳,彰化縣
赤腳精靈,南投縣
夜光高鐵景觀餐廳,彰化縣
桂花森林,南投縣
茶米香農場,南投縣
福井鐵道文物館,彰化縣
南庄媳婦的老店,苗栗縣
田媽媽龍門口餐廳,苗栗縣
唯愛庭園 Vena Manor,彰化縣
大丘休閒農場,彰化縣
八堡圳農情館,彰化縣
全家便利商店-田中金斗店,彰化縣
進發蜜麻花,彰化縣
千巧谷烘焙工場,彰化縣
田尾世外桃源休閒農場greenway-cafe,彰化縣
昇田食品,彰化縣
(暫停服務)旅。咖啡,彰化縣
新和春醬油漬物工廠,彰化縣
真姐pure food,彰化縣
奮起湖大飯店,嘉義縣
冠雲餐廳,嘉義縣
觀星園休閒民宿（火金姑民宿）,嘉義縣
永富餐飲,嘉義縣
登山食堂,嘉義縣
大凍山休閒渡假中心,嘉義縣
雅琇山莊,嘉義縣
竺園山莊,嘉義縣
湘泉民宿,嘉義縣
石桌羊肉店,嘉義縣
阿里山閣餐廳,嘉義縣
優遊吧斯 瑪翡餐廳,嘉義縣
九九九餐廳,嘉義縣
山芝鄉風味館,嘉義縣
玉山園餐廳,嘉義縣
碧湖山觀光茶園,嘉義縣
幼葉林餐廳,嘉義縣
鱘龍魚之家(公田鱘龍魚),嘉義縣
龍美羅家農場,嘉義縣
佳禾製茶,嘉義縣
旭隆製茶,嘉義縣
春馨製茶,嘉義縣
無隱山居&阿嬤咖啡,嘉義縣
太平藝廊,嘉義縣
冬瓜妹茶葉蛋,嘉義縣
小心上癮-手工黑糖薑母片,嘉義縣
阿上TEAFARM,嘉義縣
花兒&玉兒,嘉義縣
京品茶與咖啡農場,嘉義縣
老古板茶舖,嘉義縣
只在此山中,嘉義縣
茶山95客棧,嘉義縣
簡家手工黑糖,嘉義縣
瑞峰製茶所,嘉義縣
遇見彩虹生態村(原若蘭螢火蟲保育區),嘉義縣
水道頭老街66番,嘉義縣
聰田製茶廠(潔康茶坊),嘉義縣
瑞里小公主咖啡,嘉義縣
松齋嘻香糖記,嘉義縣
峰麟山咖啡,嘉義縣
瑞茗祥(永鑫茶業),嘉義縣
向陽草魚土雞城,屏東縣
瑪家穀倉,屏東縣
富谷灣景觀休閒餐廳,屏東縣
Kavararan卡瓦拉嵐,屏東縣
魯凱百步蛇,屏東縣
神山紅藜小米甜甜圈,屏東縣
紅藜夯牛角/小米燒,屏東縣
霧台神山愛玉商行,屏東縣
好山林咖啡工坊,屏東縣
風刮地秋月的店,屏東縣
清逸軒庭園風味餐廳,高雄市
答給發力美食坊,屏東縣
山腳點小吃部,屏東縣
山中天,屏東縣
廷客休閒餐廳,屏東縣
南臺灣餐飲店,高雄市
瑪姿餐飲店,高雄市
居高風味餐廳,屏東縣
地瓜餐飲,高雄市
唯一咖啡屋,屏東縣
清靜莊園,屏東縣
嵐雲綠海咖啡莊園,屏東縣
冒煙屋,屏東縣
魯魯灣,屏東縣
蝶 Svongvong,高雄市
心伶舒芙蕾,屏東縣
長角96,新北市
福華海鮮餐廳,新北市
88號水碼頭,新北市
金山青年活動中心,新北市
牧蜂休閒農場,新北市
阿達活海產,新北市
中葉切仔麵,新北市
巴沙諾瓦海灘會館,新北市
金翡翠海鮮餐廳,新北市
劉家肉粽,新北市
金山藷童瑤,新北市
獅子林餅舖,新北市
阿玉蔴荖,新北市
九香飲食坊,新北市
雪豹冰城,新北市
2號倉庫咖啡館,新北市
卡薩布蘭加,新北市
自然藝境人文咖啡館暨農產品展示館,新北市
曼特寧庭園咖啡,新北市
小艇咖啡,新北市
哈那海邊咖啡屋,新北市
頭圍製茶,新北市
金山地區農會的農特產品展售中心,新北市
竹柏山莊,新北市
田中芳園,新北市
狸小路燒肉專賣店,基隆市
八里桃樂絲森林,新北市
樂品喜塘咖啡廳,基隆市
小白屋燒烤海鮮餐廳,基隆市
八斗邀友善餐廳,基隆市
小峨嵋川菜館,基隆市
珍味香餅店,基隆市
漁品軒,基隆市
福氣委託行,基隆市
蔡技企業有限公司-蔡技食品,基隆市
連珍糕餅店,基隆市
私人島嶼,基隆市
聖托里尼海景餐廳,基隆市
猫町珈琲,基隆市
巴基斯坦廚房（真愛咖哩）,基隆市
春金活海產,新北市
米詩堤-極北藍點,新北市
湖海灣喵喵咖啡遊客服務站,基隆市
七股 / 龍門客棧餐廳(獲選參加2010台灣美食展特色餐廳),台南市
田媽媽長盈海味屋,台南市
布袋 / 黑皮創意海鮮料理館(獲選參加2010台灣美食展特色餐廳),嘉義縣
雲林 / 馬蹄蛤生態休閒園區(獲選參加2010台灣美食展特色餐廳),雲林縣
福隆餐廳(獲選參加2010台灣美食展特色餐廳),台南市
布袋 / 海中鱻海產,嘉義縣
東石 / 樺榮海鮮餐廳(獲選參加2010台灣美食展特色餐廳),嘉義縣
安南區 / 東香台菜海鮮餐廳(獲選參加2010台灣美食展特色餐廳),台南市
東石 /上好吃海產店(獲選參加2010台灣美食展特色餐廳),嘉義縣
東石 / 海龍園餐廳(獲選參加2010台灣美食展特色餐廳),嘉義縣
鹽鄉民宿餐廳,台南市
好蝦冏男社,雲林縣
北門嶼輕食風味餐,台南市
東石阿春小吃福袋蚵仔包,嘉義縣
布袋停看吃蚵仔包,嘉義縣
布袋雙燕蚵仔包,嘉義縣
宜梧蚵嗲,雲林縣
金湖蚵嗲,雲林縣
東石 60 年老店蚵嗲,嘉義縣
過溝廟口蚵嗲,嘉義縣
